player,team,position,age,games,points,rebounds,assists,steals,blocks,turnovers,minutes,fg_pct
Player_023,LAC,PG,35,44,14.6,8.6,4.8,0.8,0.1,1.6,20.8,0.483
Player_024,MEM,C,22,45,4.7,9.6,1.5,0.6,1.3,2.1,31.8,0.441
Player_025,MEM,PF,22,67,10.0,12.2,0.3,0.9,0.1,4.2,30.0,0.473
Player_026,MIA,PF,21,35,14.6,5.2,0.3,0.6,0.4,2.7,32.5,0.406
Player_027,ATL,SF,34,46,20.0,7.5,3.5,1.1,1.2,2.8,33.2,0.521
Player_028,LAC,C,21,54,8.4,10.8,4.6,0.5,0.5,2.7,23.8,0.415
Player_029,MIN,SF,30,58,10.7,3.8,8.6,1.3,0.1,3.2,18.3,0.446
Player_030,DAL,SF,37,75,3.3,6.4,1.8,0.5,0.2,1.8,24.8,0.485
Player_031,LAC,SF,31,78,13.2,9.0,5.9,0.8,1.2,0.5,33.3,0.406
Player_032,MIL,SG,26,45,9.7,3.2,4.5,0.8,0.1,1.8,24.7,0.412
Player_033,PHI,PG,22,58,13.4,1.0,6.7,1.5,1.3,2.6,23.8,0.504
Player_034,PHX,SF,19,31,9.6,6.0,3.9,1.1,0.7,1.2,17.1,0.411
Player_035,LAC,C,21,62,11.5,7.7,2.1,0.9,0.1,1.9,38.5,0.472
Player_036,PHX,PG,37,37,7.2,3.1,7.2,1.2,0.4,1.4,33.0,0.451
Player_037,GSW,C,21,33,4.7,9.8,1.2,0.2,0.2,3.2,32.6,0.434
Player_038,ORL,C,19,64,22.6,5.7,0.3,1.0,1.1,2.6,33.8,0.428
Player_039,DAL,SG,34,39,8.6,1.0,0.9,1.8,1.1,2.5,31.5,0.515
Player_040,GSW,PF,26,54,7.5,9.2,3.3,1.1,0.1,2.5,26.5,0.543
Player_041,OKC,PG,25,35,25.2,2.7,6.4,1.0,0.5,2.0,27.0,0.421
Player_042,ATL,PF,32,68,27.5,1.6,0.8,1.2,0.3,2.2,25.4,0.544
Player_043,DAL,PF,28,69,7.1,10.0,2.0,1.4,1.3,1.1,43.8,0.489
Player_044,TOR,SG,36,59,13.2,4.7,5.6,0.2,0.1,0.5,31.3,0.496
Player_045,SAC,PG,27,73,17.7,2.2,7.4,0.3,1.5,2.1,25.2,0.506
Player_046,NYK,C,32,52,20.6,6.7,0.7,1.1,0.7,2.3,30.8,0.506
Player_047,MIL,SF,35,39,9.1,8.1,5.5,0.7,0.1,3.0,21.9,0.523
Player_048,BOS,C,27,37,10.8,10.9,5.2,1.5,0.4,3.3,37.0,0.473
Player_049,PHX,PF,24,41,16.9,14.0,3.0,0.9,0.3,3.3,24.0,0.48
Player_050,MEM,PF,37,40,15.2,9.1,3.9,0.2,0.1,1.2,31.0,0.449
Player_051,CHI,PF,23,46,11.1,9.0,4.5,0.5,0.7,1.7,34.4,0.416
Player_052,CHI,PG,19,41,15.3,3.6,9.3,0.1,0.1,2.4,30.3,0.5
Player_053,ATL,SG,29,60,8.1,6.0,5.2,0.9,0.1,4.0,28.6,0.405
Player_054,DAL,SF,37,37,12.8,7.6,4.2,0.9,0.5,3.2,28.1,0.441
Player_055,PHX,SF,20,62,12.7,9.1,4.0,0.8,0.1,2.9,27.7,0.414
Player_056,MEM,PG,35,47,17.2,2.7,4.8,1.4,0.3,1.7,24.5,0.429
Player_057,OKC,SF,34,65,11.2,4.9,4.4,1.5,0.2,1.3,25.3,0.496
Player_058,MIL,PG,36,56,18.4,2.8,4.3,0.9,0.3,2.6,36.9,0.494
Player_059,MIL,PF,27,77,18.1,10.0,0.4,0.1,1.7,1.1,27.3,0.463
Player_060,ATL,PF,23,52,13.8,11.7,4.6,1.2,0.7,1.8,23.3,0.414
Player_061,LAL,C,28,45,13.8,8.9,3.7,1.2,0.8,1.9,24.9,0.465
Player_062,LAL,PF,21,60,13.3,6.9,5.0,1.1,0.1,3.3,34.6,0.453
Player_063,NYK,SG,35,64,15.0,4.8,3.5,1.4,0.4,1.7,32.1,0.508
Player_064,BOS,C,31,52,8.4,9.4,0.3,0.5,0.8,0.5,31.4,0.487
Player_065,DEN,SF,28,59,15.6,8.4,2.5,1.8,0.2,2.4,26.5,0.474
Player_066,ORL,SG,28,54,14.5,1.0,4.2,0.6,1.2,1.4,31.4,0.473
Player_067,PHI,C,32,45,22.5,7.9,2.2,1.3,0.1,2.0,24.1,0.545
Player_068,NYK,SG,28,46,22.9,2.0,6.3,0.3,0.6,1.9,26.4,0.513
Player_069,MIA,PG,34,77,17.9,1.0,6.3,0.6,0.4,1.8,33.8,0.475
Player_070,LAL,SF,36,65,10.2,3.6,3.7,1.6,0.8,2.6,33.2,0.472
Player_071,DEN,PF,37,34,7.4,5.7,0.3,0.9,0.4,0.8,22.1,0.404
Player_072,CHI,PG,30,80,22.0,3.5,7.9,1.3,0.6,1.6,22.9,0.541
Player_073,LAL,SF,33,67,15.3,8.8,3.0,1.1,0.6,2.5,28.7,0.448
Player_074,OKC,PG,24,32,18.4,3.4,5.5,1.0,0.3,1.5,38.4,0.438
Player_075,PHX,PF,19,67,4.3,5.4,1.5,1.5,0.9,0.7,16.5,0.55
Player_076,DAL,SF,26,60,18.6,5.9,2.6,0.9,0.8,2.5,29.7,0.508
Player_077,ORL,SG,35,77,17.3,6.6,3.5,0.3,0.7,2.9,19.7,0.407
Player_078,SAC,SG,21,55,9.4,1.6,7.5,0.7,0.5,2.0,24.2,0.409
Player_079,SAC,SF,29,56,11.6,3.7,2.8,1.2,1.1,0.5,25.8,0.404
Player_080,DAL,PF,22,46,14.3,9.4,1.5,1.2,0.6,2.6,25.5,0.49
Player_081,DAL,C,27,46,12.3,9.4,0.3,0.4,0.5,0.7,24.8,0.411
Player_082,MIN,SF,21,62,12.5,7.6,1.2,0.7,0.8,2.2,28.0,0.54
Player_083,BOS,PG,32,73,15.5,4.0,6.5,0.8,1.5,1.3,24.8,0.541
Player_084,LAC,C,34,76,10.7,11.8,0.6,0.9,0.1,1.1,19.2,0.482
Player_085,SAC,PF,33,70,13.8,5.4,4.8,0.4,1.1,1.6,32.7,0.492
Player_086,SAC,PF,32,61,20.4,8.0,1.7,0.7,0.1,1.9,32.5,0.444
Player_087,LAL,PG,23,56,3.2,3.5,9.6,0.7,0.8,1.5,33.1,0.41
Player_088,CHI,SG,29,47,13.8,1.0,4.1,1.3,1.5,2.5,18.8,0.511
Player_089,CLE,PF,20,69,13.9,4.1,2.1,1.3,0.9,1.6,29.8,0.415
Player_090,LAC,C,26,46,13.5,11.7,1.8,0.9,0.8,2.8,32.1,0.413
Player_091,CHI,SF,28,43,12.1,5.1,3.0,0.8,0.4,2.2,21.8,0.447
Player_092,ORL,C,31,75,3.2,7.4,5.4,1.1,0.7,1.4,28.1,0.402
Player_093,PHI,C,20,60,13.6,9.8,0.3,0.7,0.6,1.3,27.3,0.465
Player_094,MIL,SG,34,48,23.6,6.8,0.3,0.5,0.3,0.7,39.1,0.506
Player_095,MIL,C,27,74,4.3,4.3,0.9,0.6,0.6,2.2,39.5,0.52
Player_096,OKC,SG,35,80,19.3,1.0,4.0,0.7,0.8,1.7,18.0,0.491
Player_097,BOS,SG,29,46,13.4,1.7,5.4,0.5,0.3,0.5,43.0,0.527
Player_098,MIA,PF,29,57,12.7,11.7,2.9,1.1,0.3,1.6,22.5,0.461
Player_099,BOS,PF,32,55,7.7,8.7,1.2,1.3,0.1,1.3,33.9,0.527
Player_100,BOS,PG,34,66,14.3,5.9,9.0,0.4,0.9,3.3,33.8,0.476
Player_101,PHI,C,21,79,18.5,7.1,4.1,1.0,1.0,0.6,22.0,0.433
Player_102,NYK,PG,28,58,18.9,1.2,7.4,0.9,0.8,0.8,31.0,0.542
Player_103,ATL,C,19,71,20.7,11.1,3.9,1.1,1.2,2.9,27.4,0.441
Player_104,LAL,PG,28,60,21.9,4.1,7.5,1.0,0.7,3.1,31.3,0.404
Player_105,LAC,PF,34,76,15.2,9.4,0.9,0.4,0.9,1.4,29.4,0.436
Player_106,PHI,PF,35,51,21.7,7.5,3.4,0.5,0.9,1.5,35.2,0.455
Player_107,OKC,PF,24,50,15.2,8.7,2.2,1.0,0.7,2.5,28.5,0.453
Player_108,ORL,PF,26,51,17.1,8.4,2.0,1.4,0.4,0.5,27.0,0.479
Player_109,MIN,SF,29,81,12.5,7.9,5.9,0.1,1.8,0.5,34.6,0.532
Player_110,CLE,PF,26,61,13.3,10.0,0.3,1.1,0.5,1.8,31.5,0.444
Player_111,LAL,SG,22,37,11.5,1.0,1.2,1.5,0.4,3.2,32.4,0.478
Player_112,LAL,PF,24,32,17.9,2.4,0.3,0.9,0.9,1.7,24.0,0.451
Player_113,DEN,SF,26,56,8.1,8.5,2.3,1.2,0.8,2.1,21.7,0.523
Player_114,MIN,SF,28,71,17.9,9.0,2.5,0.7,0.1,2.9,24.6,0.424
Player_115,PHX,SF,36,54,13.0,3.4,0.3,1.0,1.3,3.7,24.3,0.416
Player_116,LAC,SF,29,59,19.9,1.4,1.0,0.4,0.7,1.5,32.7,0.475
Player_117,MIN,PG,26,71,19.8,4.2,5.3,0.1,0.1,2.0,33.9,0.501
Player_118,TOR,PG,31,56,25.1,6.3,11.9,1.4,1.3,3.5,27.1,0.519
Player_119,PHI,SG,33,77,18.7,8.5,7.6,0.6,1.0,0.8,36.6,0.488
Player_120,ATL,PG,27,63,8.1,5.3,6.2,0.8,0.1,2.8,36.2,0.516
Player_121,NYK,SF,28,68,13.7,5.1,2.3,0.4,1.6,1.2,29.5,0.459
Player_122,NYK,PF,23,70,7.1,5.8,0.3,0.4,1.0,2.1,23.1,0.405
Player_123,ATL,PF,35,62,10.4,8.0,0.3,0.9,0.7,1.8,37.5,0.417
Player_124,DEN,SF,35,32,21.6,5.3,2.8,0.7,1.5,1.2,27.6,0.406
Player_125,CHI,C,22,52,15.2,7.5,0.3,1.2,0.8,1.2,28.8,0.449
Player_126,ORL,SF,25,37,10.5,11.1,2.8,1.2,0.7,2.2,26.0,0.474
Player_127,ORL,PG,24,56,10.9,8.5,3.8,1.1,0.4,2.8,22.7,0.453
Player_128,OKC,PF,36,37,13.2,10.8,0.5,1.1,1.0,1.9,19.2,0.484
Player_129,CHI,SF,20,56,7.9,3.7,3.3,1.6,0.9,2.1,31.8,0.472
Player_130,ATL,PF,22,47,9.6,10.1,2.7,0.6,0.7,2.5,23.3,0.502
Player_131,ATL,SF,24,31,15.6,7.6,3.8,1.0,0.3,1.2,46.4,0.5
Player_132,ATL,SF,29,36,19.8,7.1,0.4,1.5,0.8,2.6,21.5,0.448
Player_133,TOR,PG,23,56,19.0,7.1,8.7,1.5,0.7,2.7,20.5,0.452
Player_134,DAL,SF,29,34,2.5,7.6,1.4,0.4,0.1,4.1,31.1,0.488
Player_135,NYK,PF,33,74,14.5,9.9,3.3,0.9,0.1,1.7,37.2,0.489
Player_136,PHI,SG,34,69,15.4,5.6,4.0,1.5,1.0,1.6,28.4,0.447
Player_137,TOR,PF,20,66,15.1,8.9,0.3,1.2,0.1,2.6,31.4,0.45
Player_138,TOR,PG,21,38,24.1,1.0,6.4,1.1,0.8,2.7,16.9,0.504
Player_139,MEM,SG,20,71,4.7,4.2,4.7,0.9,0.5,1.6,23.9,0.497
Player_140,OKC,SF,36,63,11.0,4.6,4.2,0.8,1.4,1.7,21.6,0.42
Player_141,MIA,C,31,50,15.0,6.8,1.7,1.1,0.5,2.4,16.6,0.466
Player_142,DEN,SG,29,30,7.1,8.2,7.1,0.9,1.0,1.3,28.7,0.534
Player_143,SAC,SG,34,57,22.4,8.3,6.0,1.0,0.5,1.7,14.5,0.405
Player_144,OKC,SF,30,71,15.8,9.4,2.5,1.0,0.8,2.1,20.1,0.528
Player_145,CLE,C,23,31,16.2,10.6,3.5,0.7,1.1,2.8,24.8,0.424
Player_146,MIN,C,28,32,9.1,13.4,5.9,1.2,0.5,1.5,23.0,0.476
Player_147,ATL,PG,32,49,20.1,4.0,10.9,2.2,1.2,0.5,30.4,0.464
Player_148,GSW,SG,19,56,20.3,4.5,1.5,0.3,0.2,0.5,29.8,0.402
Player_149,PHI,C,30,54,13.2,7.3,0.3,1.1,0.8,1.0,33.4,0.537
Player_150,NYK,PG,28,52,17.2,5.0,10.0,0.7,1.2,0.9,32.5,0.468
Player_151,TOR,C,20,43,13.4,10.2,0.3,1.2,1.0,1.9,34.8,0.543
Player_152,CHI,SG,24,33,10.7,1.0,1.4,1.0,1.7,1.0,28.0,0.443
Player_153,CHI,C,27,31,11.3,9.9,1.0,1.3,0.3,1.4,29.8,0.53
Player_154,ATL,SG,25,35,14.2,3.8,4.8,1.5,0.1,1.4,31.1,0.538
Player_155,ORL,SF,24,65,15.9,10.5,2.8,1.1,0.2,1.6,28.8,0.484
Player_156,SAC,PF,31,70,18.0,10.2,0.7,1.5,1.0,3.1,25.6,0.43
Player_157,LAC,PG,26,52,10.7,4.0,5.7,0.1,0.9,2.5,26.0,0.503
Player_158,OKC,SF,28,34,13.4,6.6,1.6,1.6,0.8,2.0,23.1,0.482
Player_159,NYK,SF,34,51,21.4,6.1,1.2,1.2,0.1,1.6,30.5,0.542
Player_160,GSW,PF,20,81,9.3,7.5,6.6,1.4,1.1,1.7,27.4,0.466
Player_161,CHI,C,25,42,7.9,7.3,2.6,0.5,0.1,2.3,24.0,0.44
Player_162,CLE,PF,20,55,14.0,7.6,3.8,0.7,1.3,2.5,24.0,0.421
Player_163,MEM,SF,36,57,18.2,4.1,2.0,1.1,2.1,1.3,20.7,0.505
Player_164,LAC,SF,22,47,14.1,2.9,2.6,1.0,0.9,2.0,33.9,0.546
Player_165,MEM,SF,34,52,20.6,7.3,1.6,1.1,1.0,0.5,28.5,0.404
Player_166,PHI,C,22,54,16.3,11.0,0.3,1.4,0.5,2.2,22.8,0.511
Player_167,OKC,SG,25,54,19.2,1.0,1.2,0.3,0.1,2.6,32.9,0.539
Player_168,MIN,PG,30,67,18.8,3.7,3.4,1.4,0.4,1.8,24.6,0.411
Player_169,OKC,SG,34,60,26.6,6.5,0.3,1.0,0.2,3.5,19.6,0.417
Player_170,MEM,PG,22,32,15.0,6.6,4.6,0.9,0.1,1.3,34.1,0.504
Player_171,DEN,PG,23,30,6.0,6.6,9.6,0.4,1.6,2.2,24.8,0.497
Player_172,NYK,PG,35,51,24.0,4.1,6.9,1.2,0.8,2.0,25.5,0.41
Player_173,ORL,PF,25,77,10.7,5.9,4.6,0.1,0.9,1.9,28.2,0.525
Player_174,LAC,PF,22,31,13.5,5.3,2.8,1.3,0.5,1.9,34.9,0.479
Player_175,MIL,PF,33,33,19.5,8.9,3.6,0.4,0.6,2.1,28.1,0.536
Player_176,MIA,SF,20,65,6.0,6.9,1.2,1.0,1.2,2.7,20.8,0.532
Player_177,NYK,PF,35,53,6.7,11.2,3.0,1.0,0.7,3.1,31.3,0.522
Player_178,ORL,PG,35,41,8.0,6.7,8.5,1.5,1.0,2.0,25.1,0.477
Player_179,CHI,C,35,40,8.0,9.7,0.8,0.9,0.6,2.7,39.3,0.438
Player_180,CHI,SF,24,64,16.2,2.9,4.1,0.7,0.5,1.4,28.0,0.476
Player_181,PHI,C,21,57,14.6,9.2,3.1,0.8,0.1,2.6,14.6,0.415
Player_182,SAC,PG,27,63,17.4,4.5,5.9,1.5,0.1,1.4,30.1,0.499
Player_183,LAC,SF,25,44,6.9,5.5,0.8,1.2,0.6,2.9,39.7,0.42
Player_184,MIA,PF,37,57,2.0,6.6,0.3,0.8,0.7,3.8,37.5,0.477
Player_185,DEN,SF,31,74,14.3,6.6,3.2,0.9,0.1,1.9,39.0,0.408
Player_186,BOS,SF,36,46,11.6,4.7,3.7,0.4,0.7,0.5,21.9,0.445
Player_187,ATL,PG,33,50,18.3,2.4,5.4,1.2,0.7,1.6,33.5,0.435
Player_188,TOR,SG,32,38,18.5,4.8,4.1,0.3,0.1,3.0,23.7,0.493
Player_189,CLE,SG,21,63,15.7,3.0,5.1,1.3,0.2,2.4,29.3,0.518
Player_190,BOS,SG,20,31,18.8,4.6,5.2,1.1,0.9,2.2,20.4,0.409
Player_191,LAL,PF,19,42,14.1,8.7,5.1,2.0,0.9,2.8,24.1,0.528
Player_192,GSW,PF,30,67,15.7,5.2,4.6,0.6,0.1,2.4,23.9,0.529
Player_193,NYK,PF,22,31,9.5,6.8,0.3,1.0,0.8,3.0,33.4,0.451
Player_194,LAC,SG,37,81,14.1,7.6,7.4,1.7,1.2,2.7,32.8,0.499
Player_195,MIL,C,21,51,13.0,7.1,0.9,1.5,1.1,3.2,29.7,0.46
Player_196,ATL,PG,36,50,20.1,1.0,9.1,0.7,0.7,2.3,19.9,0.423
Player_197,ATL,SG,31,57,13.0,1.0,4.1,1.1,0.5,2.7,26.1,0.479
Player_198,CHI,PG,21,63,18.6,4.1,6.2,1.0,0.4,1.8,23.5,0.413
Player_199,PHX,SG,20,53,13.7,4.1,0.4,1.1,0.9,1.5,33.2,0.532
Player_200,OKC,C,26,75,11.4,9.7,1.7,0.7,0.8,3.4,35.1,0.539
Player_201,LAC,SG,25,80,19.1,7.0,0.9,1.0,1.0,2.2,34.3,0.523
Player_202,ATL,C,24,40,2.0,3.3,3.9,0.4,0.8,2.6,23.5,0.484
Player_203,LAL,SF,29,66,7.5,7.0,6.0,1.1,1.1,2.1,11.6,0.484
Player_204,NYK,PF,21,45,5.6,11.9,0.4,1.2,0.7,1.5,17.4,0.548
Player_205,CLE,SF,21,81,2.3,3.2,3.6,0.9,1.1,2.0,36.5,0.437
Player_206,CHI,SG,32,43,11.6,3.1,2.5,0.4,1.1,3.1,25.6,0.411
Player_207,MIA,PF,37,45,16.7,6.1,0.7,1.4,0.3,2.4,23.5,0.484
Player_208,DEN,C,24,67,10.6,7.8,3.5,1.1,0.1,0.6,37.9,0.449
Player_209,CHI,SG,36,71,16.0,3.2,3.9,0.7,1.5,1.8,35.6,0.448
Player_210,SAC,PF,25,36,18.4,11.6,5.5,0.9,0.8,3.4,28.1,0.401
Player_211,MIA,SG,25,58,21.6,8.6,3.0,0.4,0.1,1.8,26.2,0.489
Player_212,DAL,PF,20,47,12.7,7.2,4.0,0.6,0.3,0.6,27.2,0.44
Player_213,PHX,PF,27,61,19.8,12.8,2.2,0.8,1.1,3.5,29.4,0.428
Player_214,MIA,SF,28,58,14.5,6.1,4.6,1.5,0.6,2.5,37.6,0.406
Player_215,MIL,PF,31,81,8.8,12.4,1.1,0.7,0.4,1.9,30.5,0.455
Player_216,MIL,SG,22,78,12.0,3.8,3.9,1.3,1.4,1.7,32.4,0.532
Player_217,MIL,PG,22,64,8.6,4.3,6.8,0.8,0.2,2.9,35.0,0.451
Player_218,BOS,PG,27,65,11.6,4.9,5.3,1.1,0.3,1.6,21.0,0.502
Player_219,MEM,SF,20,76,12.2,13.9,4.3,0.9,0.8,2.9,32.5,0.513
Player_220,LAC,C,21,39,16.0,12.1,3.3,1.3,0.9,2.4,26.2,0.449
Player_221,DEN,PG,30,67,24.6,2.2,8.2,0.8,0.9,2.2,12.9,0.523
Player_222,DEN,SF,37,70,7.1,8.4,6.1,0.4,1.2,2.1,15.2,0.504
Player_223,ORL,PF,29,36,15.0,7.1,4.9,0.4,0.8,1.9,21.9,0.484
Player_224,MIA,SG,21,75,9.8,2.8,3.3,0.8,0.9,2.8,31.2,0.4
Player_225,PHX,PF,37,66,15.4,10.3,2.7,0.5,0.6,1.3,28.7,0.405
Player_226,PHI,SG,28,48,14.3,4.1,2.8,1.2,0.7,0.7,29.1,0.549
Player_227,LAL,C,32,55,2.8,10.7,2.0,0.8,0.8,2.5,39.7,0.517
Player_228,PHX,SF,22,55,18.6,6.0,1.8,1.9,0.8,2.5,20.4,0.541
Player_229,LAC,SF,29,77,11.0,6.8,6.2,0.3,1.1,2.4,27.8,0.535
Player_230,TOR,PG,20,80,13.3,5.1,7.7,1.1,1.0,2.3,29.8,0.403
Player_231,LAL,SF,30,71,8.7,1.2,2.6,0.5,0.7,1.7,23.6,0.519
Player_232,PHI,C,22,63,8.7,11.7,4.4,0.8,0.3,2.6,28.2,0.468
Player_233,CHI,PG,36,35,18.1,1.5,2.7,1.1,0.7,2.0,18.4,0.518
Player_234,TOR,PF,20,77,12.1,4.4,0.3,0.1,0.7,1.6,36.5,0.401
Player_235,CLE,SF,31,36,15.6,5.9,4.6,1.1,0.8,1.8,23.9,0.443
Player_236,LAC,PF,21,38,14.8,8.2,2.1,1.8,1.8,3.6,40.2,0.513
Player_237,PHX,PF,32,33,19.6,6.3,2.5,0.8,0.4,0.6,27.8,0.519
Player_238,LAC,SF,28,79,12.3,8.1,0.3,1.1,0.9,2.4,34.2,0.493
Player_239,MIN,SG,37,55,7.6,1.0,4.0,1.4,1.2,0.7,27.7,0.445
Player_240,MIL,PF,31,42,18.3,7.0,6.0,0.9,0.7,1.9,27.8,0.447
Player_241,SAC,PG,26,34,14.3,2.5,8.6,0.8,1.9,1.7,24.5,0.545
Player_242,MIN,SF,20,51,19.6,5.9,3.3,0.1,0.5,0.5,28.7,0.466
Player_243,MEM,PG,30,67,17.9,4.7,6.1,1.3,0.9,2.3,29.9,0.467
Player_244,DAL,PF,27,81,12.3,5.5,1.2,1.0,0.3,1.7,23.3,0.483
Player_245,ORL,PF,19,58,14.7,9.8,0.3,0.6,0.5,0.5,27.2,0.461
Player_246,PHI,PG,30,61,25.8,4.2,7.5,1.1,0.8,2.7,24.3,0.483
Player_247,MIN,PF,22,73,23.4,3.3,3.7,0.8,1.1,3.1,41.8,0.465
Player_248,MIN,SF,23,76,14.3,1.1,0.3,0.8,0.9,3.2,27.5,0.524
Player_249,TOR,PF,19,44,13.8,8.0,0.7,1.2,1.3,2.3,37.3,0.536
Player_250,MIA,PG,26,81,21.4,3.4,4.7,0.5,0.7,2.0,26.8,0.54
Player_251,CHI,PG,23,56,11.8,3.7,5.1,1.4,0.5,3.1,29.6,0.485
Player_252,DAL,SF,20,78,15.7,5.9,3.1,0.4,2.1,3.3,20.1,0.466
Player_253,MIA,PG,27,36,15.9,4.6,2.8,0.7,0.9,2.9,25.3,0.506
Player_254,MIA,SG,23,35,16.6,6.4,5.2,1.8,0.3,1.2,29.3,0.526
Player_255,NYK,PF,21,75,8.8,5.2,3.5,1.5,0.4,2.2,37.5,0.484
Player_256,SAC,PG,27,64,8.1,1.1,6.5,1.0,0.2,2.4,29.3,0.505
Player_257,LAL,PF,20,39,2.6,5.3,0.3,0.6,1.2,0.6,36.3,0.512
Player_258,TOR,PG,37,76,10.4,4.7,5.0,0.8,0.5,2.4,31.8,0.501
Player_259,CHI,PG,27,35,13.7,7.1,9.5,1.0,0.8,3.8,37.8,0.512
